m2_terreno,cantidad_personas,orientacion,forma_terreno,cantidad_dormitorio,cantidad_bano,m2_cocina,m2_estar_comedor,m2_dormitorios_total,m2_banos_total,costo_estimado,tiempo_meses,layout_key_target
220,4,3,angosto,3,1,11.5,22.7,44,4.6,69621,9,3-dorm-largo
276,1,2,irregular,1,1,7.2,19.8,10.3,3.6,32126,5,1-dorm
125,3,4,angosto,2,1,8.5,10,21.5,3.6,41595,5,2-dorm
435,3,1,angosto,3,1,8.2,40.1,33.4,3,66628,9,3-dorm-largo
235,3,1,angosto,3,3,9.1,24.1,42,9.4,67197,8,3-dorm-largo
296,4,4,cuadrado,3,2,12.6,27.5,31.6,9.8,70490,7,3-dorm-compacto
418,2,2,irregular,1,1,8.3,31.5,10.9,3.6,45798,7,1-dorm
275,1,4,cuadrado,1,1,12.1,22.9,12.9,4.1,40610,6,1-dorm
439,1,4,irregular,1,1,5.2,23.7,12.9,4,42557,4,1-dorm
235,3,3,irregular,2,1,9.6,22.2,18.3,4.1,36848,5,2-dorm
164,4,3,ancho,3,2,7.4,16.1,35.8,6.3,58069,6,3-dorm-largo
371,4,3,angosto,2,1,8.9,38.7,24.4,3.5,68573,7,2-dorm
322,2,3,ancho,2,1,10,20.3,18.7,4.3,44337,5,2-dorm
118,4,1,ancho,3,1,10.8,13,44.3,3.6,64350,6,3-dorm-largo
286,1,2,irregular,2,1,9.3,17.7,23.6,4.9,42479,5,2-dorm
407,3,3,irregular,2,2,7.1,40.2,29.2,9.7,63066,9,2-dorm
168,1,1,angosto,1,1,5.7,9.1,14.1,3.2,24639,5,1-dorm
267,1,4,angosto,1,1,12.1,20.2,9.5,3.5,39429,4,1-dorm
262,4,3,irregular,3,1,5.4,28.4,30,3.5,58374,5,3-dorm-compacto
359,4,1,irregular,3,1,6.1,31.9,43.2,3.5,65551,8,3-dorm-compacto
432,2,4,cuadrado,2,1,9.6,35.6,26.7,5,65123,5,2-dorm
246,4,2,cuadrado,2,1,12.7,26.5,24.9,4.1,61665,5,2-dorm
393,2,1,ancho,2,1,12.3,34.2,19.8,4.3,66008,5,2-dorm
325,3,2,angosto,2,1,8.4,31.2,24.8,3.8,62791,7,2-dorm
410,1,1,irregular,1,1,9.9,24.6,13.3,3.9,43180,7,1-dorm
380,4,3,cuadrado,2,2,13.7,38.7,22.4,8.8,76145,8,2-dorm
429,4,3,ancho,2,1,9.9,48.4,20.9,3.3,68558,7,2-dorm
383,1,1,irregular,1,1,10,26.7,11.9,3.9,34177,6,1-dorm
113,1,2,irregular,2,1,10.7,7.8,24.6,4.7,35841,5,2-dorm
403,2,1,angosto,2,1,9.4,33.8,24.1,3.3,58152,6,2-dorm
440,3,1,angosto,2,1,9.1,40,26.3,3.2,71085,5,2-dorm
343,4,4,cuadrado,3,2,9,38.4,29.4,6.4,80906,7,3-dorm-compacto
329,2,1,angosto,2,1,7.8,21.4,18.7,3,36888,5,2-dorm
378,2,1,angosto,2,2,12.2,34.9,29,9.4,74514,9,2-dorm
408,2,2,angosto,2,1,6.9,36.1,19.7,4.1,52262,7,2-dorm
125,1,1,irregular,2,1,10.3,6.6,27,3.1,33164,4,2-dorm
199,3,4,angosto,2,2,10.6,15.4,23.9,7.2,52013,6,2-dorm
357,1,3,angosto,1,1,11.3,19.9,9.2,3.2,36379,4,1-dorm
421,4,4,cuadrado,2,2,10.2,47.1,25.7,9.4,75252,9,2-dorm
429,4,3,angosto,3,2,9.2,44.2,35.1,9.8,87573,9,3-dorm-largo
249,3,3,cuadrado,3,1,7.6,25.4,27.5,3.5,41660,6,3-dorm-compacto
358,4,4,irregular,3,1,11.6,35.7,27.1,4.5,75057,7,3-dorm-largo
255,1,4,cuadrado,1,1,8.9,18.7,9.1,4.7,35038,4,1-dorm
365,2,1,irregular,2,1,6.1,31.3,22.8,5,58424,7,2-dorm
143,1,3,ancho,1,1,9.9,10.5,11.5,3.7,25412,5,1-dorm
160,2,3,ancho,1,1,10.4,14.7,12.7,4.9,28915,5,1-dorm
437,1,1,irregular,2,2,7,33.5,19.3,6.4,53397,7,2-dorm
387,2,3,irregular,1,1,5.7,31.2,13.9,3.4,40094,5,1-dorm
176,3,1,cuadrado,2,2,13,13.8,19.4,6.2,40179,7,2-dorm
300,1,3,angosto,1,1,11.8,23.5,9.1,4.6,41415,5,1-dorm
344,2,4,angosto,2,1,7.3,27,25.2,4.7,58633,7,2-dorm
190,3,2,irregular,3,1,7.9,16.8,40.9,3.7,62643,7,3-dorm-compacto
198,1,4,ancho,2,2,6.8,10.8,27.9,8,44892,7,2-dorm
389,1,1,angosto,2,1,12.1,20.7,26.4,3.3,59462,7,2-dorm
103,4,1,ancho,3,1,6.1,10.7,30.1,3.2,36660,6,3-dorm-compacto
393,1,2,cuadrado,1,1,9.6,22.9,12.8,4.9,45165,7,1-dorm
366,2,1,cuadrado,1,1,14,33,14.2,4.2,54522,6,1-dorm
188,2,3,irregular,2,2,6.2,13.6,23.1,7.9,46520,6,2-dorm
426,3,4,cuadrado,2,2,11.2,39.2,18.9,8.8,61830,7,2-dorm
258,3,2,irregular,2,1,9.4,22.9,22.4,4.1,50625,5,2-dorm
151,3,1,irregular,3,2,5.7,15.7,39.5,8.1,68844,6,3-dorm-compacto
236,2,2,ancho,2,1,7,17.4,23.4,4.6,47737,7,2-dorm
173,4,1,ancho,3,1,9.9,14.7,44.2,5,68718,7,3-dorm-compacto
261,1,2,angosto,1,1,9.6,18.8,11.3,4.8,29782,4,1-dorm
215,1,3,ancho,1,1,13,12.1,12.7,3.1,32940,4,1-dorm
170,2,4,angosto,2,2,8.7,13.1,22.5,6.4,39173,5,2-dorm
262,3,1,angosto,2,1,7.7,24.2,26.6,3.1,57671,5,2-dorm
298,4,3,ancho,2,1,11.7,32.9,29.4,4.6,59503,5,2-dorm
263,3,4,irregular,3,1,11.4,27.1,36.1,4.2,74139,7,3-dorm-compacto
364,4,1,ancho,3,3,8.8,33,34.8,9.3,72736,7,3-dorm-compacto
355,4,2,irregular,2,1,7.9,33.4,28.5,4.4,69850,6,2-dorm
410,2,2,ancho,3,1,10.9,35.6,27.7,3.9,77010,5,3-dorm-compacto
197,3,2,angosto,3,1,9.7,20,38.9,4.2,51788,7,3-dorm-largo
420,2,2,angosto,2,1,5.4,38.2,20.3,4.2,60431,5,2-dorm
239,2,3,irregular,2,1,11.9,18.3,28.3,3.6,45191,6,2-dorm
205,2,1,irregular,2,2,10.7,16.6,23.2,9.6,53582,7,2-dorm
437,2,1,cuadrado,2,1,6.4,34.2,25.7,4.9,66767,6,2-dorm
262,1,2,ancho,2,1,6.6,21.9,20.2,3.8,37609,6,2-dorm
390,1,4,cuadrado,1,1,13.5,24.4,14.6,3.8,48031,7,1-dorm
298,2,3,irregular,1,1,9.1,20.8,13.2,4.9,35020,5,1-dorm
180,2,3,angosto,2,1,8,13.1,29.3,4.1,41661,6,2-dorm
304,3,2,angosto,2,1,8.8,31,24,4.7,47383,5,2-dorm
387,3,2,cuadrado,3,2,8.6,38.9,29.8,9.8,77597,8,3-dorm-compacto
413,4,4,irregular,2,1,6.4,47.2,19.4,4.7,76065,5,2-dorm
177,2,2,ancho,2,1,11.9,15.9,24.2,4.1,42685,7,2-dorm
309,3,1,cuadrado,2,1,12.2,26,19.6,3.6,51363,6,2-dorm
363,2,3,cuadrado,2,1,12.5,34.2,18.5,3.1,63061,6,2-dorm
169,1,3,ancho,1,1,11.6,12.7,14.4,3.9,32151,4,1-dorm
430,2,3,angosto,1,1,11.8,27,9.8,3.2,45590,5,1-dorm
256,3,4,irregular,2,1,10.7,23.6,24.3,3,55591,5,2-dorm
269,3,3,irregular,2,1,11.2,23.7,22,3.8,48401,6,2-dorm
304,2,1,angosto,1,1,10,28.5,9.4,4.9,37282,6,1-dorm
122,2,2,cuadrado,1,1,9.8,10.6,10.7,4.7,24198,4,1-dorm
388,4,2,ancho,3,1,11.6,37.3,30.3,4.8,78393,9,3-dorm-largo
172,3,4,irregular,3,2,5.6,13.9,27.4,7.3,43639,6,3-dorm-compacto
332,1,1,cuadrado,1,1,13.2,18.7,14.1,3.8,44382,4,1-dorm
205,4,3,ancho,3,2,8.2,21.8,30.8,8.2,60516,6,3-dorm-compacto
399,3,4,irregular,2,1,7.8,39.7,21.3,4,50844,5,2-dorm
114,2,1,ancho,2,1,10.4,10,23.9,5,35207,4,2-dorm
229,4,4,cuadrado,2,1,8.6,20.4,23.5,3.3,39933,6,2-dorm
336,2,2,cuadrado,3,2,10.4,30.7,41.4,7.4,85082,7,3-dorm-compacto
219,3,1,angosto,3,2,11.3,22.4,42.6,7.8,81541,8,3-dorm-largo
192,4,4,ancho,2,1,6.7,20.4,21.6,4.9,49507,6,2-dorm
397,3,4,angosto,3,2,7.8,35.8,40.7,8.3,78708,9,3-dorm-largo
387,1,3,cuadrado,2,2,7.2,22.1,20.3,9.1,49038,5,2-dorm
131,3,4,cuadrado,3,2,9.9,12.6,28.1,6.2,42618,7,3-dorm-compacto
222,4,2,irregular,2,2,6.2,23.4,23.3,7.4,54009,5,2-dorm
410,2,2,ancho,2,1,9.4,37.6,21.5,3,71450,7,2-dorm
106,3,2,cuadrado,2,1,11.2,9.6,19.3,4.5,39748,5,2-dorm
326,3,3,irregular,2,1,9,31.1,20,4.8,45832,5,2-dorm
267,2,1,irregular,3,2,8,20.3,40.7,9.4,74928,7,3-dorm-compacto
141,1,1,angosto,2,1,5.5,11.5,24.8,4,36586,5,2-dorm
127,1,2,ancho,2,2,11,9.9,27.7,8.2,46105,7,2-dorm
410,3,2,cuadrado,2,1,13,31.3,25.3,3.4,69113,5,2-dorm
213,1,1,ancho,1,1,6.7,15.8,14.3,3.1,30849,5,1-dorm
397,3,4,ancho,3,2,13.3,41.3,43.5,8.8,80368,9,3-dorm-compacto
234,3,2,irregular,3,2,9.2,17.7,34,8.6,46398,7,3-dorm-compacto
201,4,2,angosto,2,1,12.2,21.8,23.7,4.9,55570,6,2-dorm
104,1,2,angosto,1,1,6.7,7.4,9.9,3.4,22953,4,1-dorm
285,4,4,cuadrado,3,2,6.1,28.6,41,6.9,77339,8,3-dorm-compacto
274,2,3,irregular,2,1,6.3,20.4,26.1,4.4,44466,7,2-dorm
269,3,2,irregular,2,1,10.4,28.2,27.8,4.8,67451,6,2-dorm
222,1,2,ancho,1,1,13.3,17.8,9.9,4.1,35545,5,1-dorm
391,2,1,cuadrado,1,1,7.4,27.2,9.3,4.6,43200,4,1-dorm
234,1,3,ancho,2,1,12.6,12.4,18.8,3.6,38144,5,2-dorm
273,3,4,cuadrado,3,2,6.6,25.3,34.3,7.4,62759,7,3-dorm-compacto
410,2,2,irregular,3,2,7.2,32.2,39,7.6,85788,7,3-dorm-largo
289,2,4,angosto,1,1,5.5,25.1,14.2,4.1,38753,5,1-dorm
416,1,3,ancho,1,1,13,22.7,12.1,4.3,49968,5,1-dorm
407,4,4,ancho,3,3,10.9,42.8,44.8,10.3,80052,8,3-dorm-largo
323,4,3,angosto,3,2,7.8,37.5,38.4,8.5,60354,9,3-dorm-largo
189,2,3,angosto,2,1,9.7,17.5,24.4,3.3,51006,6,2-dorm
325,3,1,irregular,3,2,6.1,28.1,39.3,8.4,55013,8,3-dorm-compacto
243,3,3,angosto,3,1,12.1,22.7,36.7,4.7,66717,7,3-dorm-largo
246,1,1,angosto,1,1,6.2,14.7,10.8,4.6,34827,4,1-dorm
224,1,2,irregular,2,1,9.7,11.8,21.3,3.4,40739,4,2-dorm
311,2,4,cuadrado,2,2,8.5,22.3,25.8,10,48258,5,2-dorm
381,3,4,ancho,2,2,11.2,30.9,25.4,9.4,73146,7,2-dorm
338,4,3,angosto,3,1,11.2,33.9,29.1,4.5,64508,6,3-dorm-largo
262,4,2,irregular,3,1,8.6,26.1,41.6,4.9,60056,7,3-dorm-compacto
336,1,2,cuadrado,1,1,9,18.5,9.9,4.9,33689,5,1-dorm
325,1,4,cuadrado,1,1,13.8,26.7,11.5,3.3,39859,6,1-dorm
116,4,3,cuadrado,3,2,6.1,12.5,35.2,8.4,42164,7,3-dorm-compacto
251,1,2,angosto,2,1,12.4,13.5,20.7,4.8,42534,7,2-dorm
302,2,2,angosto,2,1,10.5,25.4,20.5,4.6,57915,7,2-dorm
352,1,3,angosto,2,2,12,18.3,20.6,7.3,48312,6,2-dorm
142,4,4,irregular,2,1,7.6,12.1,21.4,3.8,44719,5,2-dorm
159,4,4,angosto,2,1,5.5,18.4,18.7,3.9,45254,4,2-dorm
357,1,2,cuadrado,1,1,8.1,26.3,14.3,3.3,36033,7,1-dorm
361,3,1,irregular,2,2,8.3,32.5,27.3,9,64321,5,2-dorm
210,2,4,angosto,1,1,10,14.4,13.4,4.3,35756,5,1-dorm
445,4,1,angosto,2,2,10.2,40.7,25.5,7.2,60708,9,2-dorm
317,2,2,ancho,2,2,10.1,27.9,23.5,9.9,58775,7,2-dorm
436,3,1,ancho,2,1,7.2,41.2,28.4,4.5,77648,7,2-dorm
438,3,4,irregular,3,1,5.2,46.4,29.3,4.3,58007,8,3-dorm-largo
161,4,4,irregular,3,2,7.1,17,29,8.6,55005,5,3-dorm-largo
365,2,3,ancho,1,1,7.5,27.5,14.3,4.8,49937,7,1-dorm
420,2,1,irregular,2,2,11.4,30.6,19.7,9.3,70296,5,2-dorm
329,3,1,cuadrado,3,2,10.6,26.3,35.2,7.3,70297,5,3-dorm-compacto
340,3,1,ancho,2,1,11.7,34.6,28.4,3.6,56977,5,2-dorm
321,4,3,irregular,3,1,5.8,31.3,31.8,3.4,64975,5,3-dorm-compacto
104,1,1,cuadrado,1,1,11.3,8.4,14.2,3.8,24768,4,1-dorm
227,2,1,cuadrado,3,1,10.3,18,35.4,4.3,58113,5,3-dorm-compacto
110,4,3,cuadrado,2,2,7,9.5,20.2,7.6,43235,5,2-dorm
289,2,2,irregular,1,1,10.1,22.7,13.2,3.9,40470,5,1-dorm
250,4,3,irregular,3,2,10,25.6,34.6,6.7,64127,7,3-dorm-compacto
239,2,2,angosto,2,2,7.5,22.7,19.9,8.7,51492,5,2-dorm
110,1,3,irregular,1,1,9.9,6.2,12.4,3.1,23591,4,1-dorm
298,2,1,irregular,2,1,6.3,28,20.1,4.6,41878,5,2-dorm
359,1,2,cuadrado,1,1,7,22.9,13.9,3.6,39438,4,1-dorm
311,1,1,cuadrado,1,1,10.4,21.6,9.7,4.5,30279,4,1-dorm
335,4,4,ancho,3,1,12.9,36.1,38.9,3.7,73818,9,3-dorm-compacto
146,4,4,irregular,3,1,5.1,12.5,41.1,4.8,54736,5,3-dorm-compacto
316,4,1,angosto,3,1,8.7,36.6,43.7,4.7,73244,7,3-dorm-largo
232,4,3,ancho,3,2,10.5,21.1,35.7,6.9,64259,6,3-dorm-compacto
196,1,4,angosto,1,1,6.8,12.3,15,4.1,37601,4,1-dorm
164,2,4,irregular,2,2,11.6,12.8,19.2,6.4,47273,4,2-dorm
222,2,1,ancho,2,1,11.5,17.5,21.2,3.7,35979,5,2-dorm
277,1,2,cuadrado,1,1,11.4,19.3,13.2,4,41414,5,1-dorm
395,3,3,ancho,2,1,9.5,29.9,20.4,3.4,48473,7,2-dorm
425,4,4,irregular,2,2,8.5,44.7,29.7,6.4,78843,8,2-dorm
192,4,4,cuadrado,2,1,9.1,18.1,29.9,3.7,49294,7,2-dorm
431,2,1,irregular,2,1,11.7,29.9,29.7,4.1,65679,6,2-dorm
287,1,3,cuadrado,2,1,12.1,18,25.7,3.7,43194,6,2-dorm
184,3,3,cuadrado,3,1,8.9,19.6,28,3.3,52575,6,3-dorm-compacto
337,2,4,irregular,1,1,10.5,29.7,13.7,3.9,51909,6,1-dorm
219,4,2,ancho,3,3,12.6,20.2,39.1,11.9,56110,9,3-dorm-compacto
382,1,1,cuadrado,1,1,11.8,28.3,9.5,3.2,43773,6,1-dorm
284,1,3,ancho,1,1,12,15,9.2,4.4,33288,5,1-dorm
173,1,4,angosto,1,1,7.2,12.4,9.1,3.1,28354,4,1-dorm
111,3,1,angosto,2,1,12.2,10.5,18.3,4.8,30324,5,2-dorm
272,4,2,ancho,3,3,9,29.7,44.8,15,96251,8,3-dorm-largo
325,3,2,irregular,2,1,8,29.9,20.2,3,55832,7,2-dorm
149,4,2,cuadrado,3,2,9.7,13.3,35.1,8.1,56532,6,3-dorm-compacto
188,1,4,angosto,1,1,8.5,15.7,11.2,4,30751,5,1-dorm
384,4,3,irregular,3,2,8.3,35.4,33,8.5,82408,8,3-dorm-compacto
274,4,3,cuadrado,3,2,11.9,30,37.7,6.1,83028,7,3-dorm-compacto
235,4,1,angosto,2,2,7.6,27.2,20.6,6.2,42995,5,2-dorm
404,3,2,ancho,2,2,8.5,30,28.9,7,56549,6,2-dorm
103,2,3,angosto,2,2,11.6,7.4,24.3,9.7,46052,5,2-dorm
187,4,1,cuadrado,2,1,13.8,21.4,20.6,3.7,40909,7,2-dorm
236,3,2,irregular,2,1,11.1,21.4,23.5,3.1,48392,5,2-dorm
205,3,1,ancho,2,2,9.7,15.2,23.5,6.4,52903,6,2-dorm
415,2,2,cuadrado,3,1,11.9,34,42.2,4.1,72837,9,3-dorm-compacto
223,1,4,ancho,2,2,6.1,11.9,28.9,9.3,49209,5,2-dorm
284,2,3,ancho,2,1,9.7,22.3,27.9,3.3,60142,6,2-dorm
204,4,2,ancho,2,1,13.6,20.7,21,3.6,49278,7,2-dorm
130,2,3,ancho,2,1,11.5,10.8,26.6,3.4,50427,5,2-dorm
179,4,1,ancho,2,1,11.8,18,24.9,4.2,43429,5,2-dorm
273,3,1,irregular,2,2,6,24.8,23.7,9.7,47481,7,2-dorm
302,4,1,ancho,3,3,9.4,33.8,38.9,14.4,73252,9,3-dorm-largo
161,4,4,ancho,2,1,8.3,14.4,24.5,3,37617,7,2-dorm
247,2,4,ancho,2,2,9.6,22.9,22.9,7.8,43988,5,2-dorm
357,4,2,cuadrado,3,2,10.6,38.2,35.8,8,85281,7,3-dorm-compacto
171,3,2,ancho,2,1,9.7,15.1,26.5,3.1,38287,7,2-dorm
207,1,3,cuadrado,1,1,8.8,16.7,14.3,3.5,39899,4,1-dorm
221,1,4,cuadrado,2,1,10.1,14.9,26,3.3,40714,5,2-dorm
435,3,4,angosto,3,2,8.9,38.3,43,8.7,75707,9,3-dorm-largo
425,1,1,angosto,1,1,6.4,34.1,10.7,4,36245,7,1-dorm
230,4,4,irregular,3,2,10.7,25.5,33.3,7.7,58902,5,3-dorm-compacto
286,4,1,angosto,3,2,9,24.3,34.4,9.6,73088,6,3-dorm-largo
437,4,2,cuadrado,3,2,12.2,48,36.4,6,97768,9,3-dorm-compacto
283,2,3,cuadrado,2,1,9.3,21,25,4.8,42547,6,2-dorm
444,1,4,cuadrado,1,1,11.3,30.2,13.1,3.8,42573,6,1-dorm
314,4,1,angosto,2,1,10.5,35.3,19.3,4.7,69197,6,2-dorm
222,4,3,ancho,2,1,10.8,21.8,29.1,4.7,55049,6,2-dorm
216,3,4,cuadrado,2,1,6.4,20.6,23.2,4.2,53066,7,2-dorm
130,3,2,angosto,2,1,11.7,10.2,26.3,3.6,49891,5,2-dorm
337,1,2,ancho,1,1,6.2,26.9,9.8,3.7,32588,4,1-dorm
140,1,3,ancho,2,1,13.6,7.2,20.2,3,29069,5,2-dorm
104,3,4,ancho,2,1,12.8,9.6,28.2,3.5,43930,7,2-dorm
123,2,1,irregular,3,1,8,9.4,39.6,3,44609,5,3-dorm-largo
119,1,1,ancho,2,1,6.3,7.7,27.3,3.2,33157,4,2-dorm
434,2,2,angosto,3,2,6.2,35,38.5,6,73014,8,3-dorm-largo
338,3,2,cuadrado,3,3,13,26.1,34.9,10.1,81196,9,3-dorm-compacto
111,1,2,irregular,2,1,9.2,9.4,25.7,3.6,40791,4,2-dorm
158,4,3,angosto,3,1,9.2,18,27.9,3.7,50095,6,3-dorm-largo
446,3,1,irregular,3,2,8.9,39.6,41.5,6.4,72742,7,3-dorm-largo
441,1,3,ancho,2,1,14,24.9,24.3,5,65902,7,2-dorm
415,1,4,cuadrado,1,1,7.8,31.1,12.7,3.3,53008,7,1-dorm
313,3,2,angosto,2,2,9.7,24.3,26.5,9.3,52587,6,2-dorm
277,1,3,irregular,1,1,9.3,20.7,13.4,3.4,41061,5,1-dorm
422,1,4,angosto,2,1,9.3,28.2,22.1,3.8,47092,6,2-dorm
259,2,2,irregular,2,1,6,18.4,18.5,4.3,45742,4,2-dorm
276,4,4,irregular,3,2,11.3,31.2,30.2,6.8,52228,7,3-dorm-largo
249,1,2,cuadrado,1,1,6.9,14.1,14.6,3.8,36690,4,1-dorm
211,3,2,ancho,2,2,7.5,15.7,23.5,9.6,39810,6,2-dorm
404,4,4,ancho,3,1,9.1,45.5,34.6,4.6,69373,7,3-dorm-largo
166,2,2,irregular,1,1,11.2,15.4,14.4,3.9,38369,5,1-dorm
301,1,3,irregular,1,1,7.3,18.9,11.3,3.2,40352,4,1-dorm
199,1,2,cuadrado,1,1,11.6,10.5,13.2,3.4,38504,4,1-dorm
243,4,2,cuadrado,3,2,10.8,25.7,35.2,7.9,55905,5,3-dorm-compacto
366,4,4,cuadrado,3,1,8.5,34.3,33,3.4,69689,6,3-dorm-compacto
147,2,2,cuadrado,2,1,8.5,9.8,26.2,4.4,43451,5,2-dorm
258,1,4,cuadrado,1,1,8.5,20.1,13.7,3.5,41071,4,1-dorm
355,3,4,irregular,2,1,11.6,35.8,26.8,4.1,62005,7,2-dorm
296,2,2,cuadrado,2,2,12.5,24.2,24.6,8.1,66505,5,2-dorm
378,4,3,ancho,3,1,11.1,36.3,35.4,3.3,83986,7,3-dorm-largo
450,2,3,ancho,2,2,9.4,33.7,22.7,8.4,56272,6,2-dorm
168,4,4,ancho,3,2,6.4,14.5,32.9,7.4,56996,5,3-dorm-largo
368,1,1,ancho,2,1,7.8,27.6,26.6,4.5,65661,5,2-dorm
328,3,3,cuadrado,3,2,12.2,32.4,39.9,9.2,89165,9,3-dorm-compacto
431,1,2,ancho,2,1,11.7,28.5,25.2,3.4,64086,7,2-dorm
374,3,1,angosto,3,1,5.8,35.9,32.6,4.1,51067,5,3-dorm-largo
319,3,2,ancho,2,1,8.2,32.3,29.3,4.4,54101,7,2-dorm
449,1,3,angosto,1,1,6.5,33.7,14,4.2,53761,5,1-dorm
242,3,4,ancho,2,2,13.1,18.5,18.9,8.3,55838,6,2-dorm
228,2,1,irregular,1,1,7.2,15.6,10.3,4.9,32657,5,1-dorm
408,1,4,irregular,1,1,8,32.2,14.2,3.8,40718,6,1-dorm
418,2,1,angosto,3,2,9,36.2,43.9,7.5,86528,8,3-dorm-largo
157,4,1,angosto,3,2,8.1,15.7,41.5,6.9,56692,7,3-dorm-largo
292,2,1,angosto,2,2,8.1,22.1,18.2,9.7,50539,7,2-dorm
345,3,4,cuadrado,3,1,12.3,32.1,32.7,4.1,57803,8,3-dorm-compacto
279,4,2,angosto,2,1,11.9,25.6,25.5,4.3,65085,6,2-dorm
149,2,3,angosto,2,2,7.9,11.7,27.2,7,46188,5,2-dorm
109,1,2,ancho,1,1,12.4,8.7,9.9,4.1,33438,5,1-dorm
289,3,4,angosto,3,2,9.1,27,36.9,6.8,62212,5,3-dorm-largo
395,4,2,ancho,3,1,10.8,41.8,42.4,3.7,89629,7,3-dorm-compacto
363,3,4,ancho,3,1,11.7,28.8,28.1,4.9,70940,6,3-dorm-compacto
240,3,3,irregular,2,1,10.3,20.4,28.4,3.1,41599,7,2-dorm
303,1,3,ancho,1,1,10.8,18.1,14.4,3.3,42236,5,1-dorm
255,2,1,angosto,2,2,12.3,24,26.8,7.1,68696,7,2-dorm
134,4,3,angosto,2,1,5.6,13.9,30,3.8,42997,5,2-dorm
328,2,4,ancho,1,1,8,25.6,12.1,3.3,35631,4,1-dorm
273,3,4,ancho,2,1,8.2,26.2,23.2,4.9,60963,6,2-dorm
156,1,4,angosto,1,1,10.9,12,14.3,4.6,39175,5,1-dorm
415,4,1,irregular,3,2,9,41.6,30.9,6,71158,9,3-dorm-compacto
148,2,3,angosto,3,2,7.5,11.7,36.8,8.2,42985,7,3-dorm-largo
318,2,4,irregular,2,2,8.1,29.4,26.3,9.9,59112,7,2-dorm
370,1,3,irregular,1,1,11.4,30.9,9.8,4.8,51810,6,1-dorm
207,1,2,angosto,2,1,10.9,11,23.8,4.7,49643,5,2-dorm
359,4,2,ancho,2,1,6.4,38.4,22.4,4.6,65748,5,2-dorm
197,1,2,cuadrado,1,1,11.5,13.6,10.1,4.7,26700,4,1-dorm
377,4,1,cuadrado,2,2,13.3,36.6,28.2,9.9,62999,7,2-dorm
446,3,1,angosto,3,2,8.4,35.7,33.7,9.4,86312,7,3-dorm-largo
314,4,2,angosto,3,1,10.7,34.8,38.7,3.7,74692,9,3-dorm-largo
253,1,2,angosto,2,1,8.6,19.5,19.5,3.9,39867,6,2-dorm
119,4,1,cuadrado,3,1,11.2,13.6,43.1,4.6,53908,6,3-dorm-compacto
399,4,3,ancho,2,1,7.6,40.9,19.5,4.2,63188,7,2-dorm
447,1,1,irregular,1,1,11.2,33,12.2,5,42476,7,1-dorm
338,4,4,ancho,3,2,11.8,30.1,37.6,6.4,84727,7,3-dorm-compacto
161,3,1,irregular,2,2,10.7,12.4,21.6,8.5,41489,5,2-dorm
257,2,1,angosto,2,1,11.1,23,29.7,3.2,51918,6,2-dorm
310,2,2,angosto,2,1,9,23.7,29.2,4.5,57512,5,2-dorm
219,1,4,cuadrado,1,1,6.2,17.6,12.4,4.3,38574,4,1-dorm
125,1,3,angosto,1,1,9.7,9.7,9.2,3.9,29895,5,1-dorm
312,1,3,cuadrado,1,1,9.5,18.9,13.7,3.4,41677,5,1-dorm
388,3,4,angosto,2,1,5.9,31.9,25.8,4.7,51017,7,2-dorm
345,1,3,irregular,1,1,6.1,19.6,12.7,4.5,33139,5,1-dorm
192,1,1,ancho,1,1,12.8,12.2,14.1,4.2,38279,4,1-dorm
392,2,4,angosto,3,2,8.5,29.8,30.9,9.5,65612,7,3-dorm-largo
209,4,4,cuadrado,3,2,13.9,21,44.9,6.9,64977,7,3-dorm-compacto
408,4,2,angosto,2,2,8.7,35.6,24.7,6.3,68381,5,2-dorm
441,4,2,cuadrado,2,2,8.7,42.9,26.5,8.4,81354,8,2-dorm
350,4,4,angosto,2,2,9.4,32.5,29.4,7.8,61716,5,2-dorm
112,4,1,cuadrado,3,1,10.2,12,37.7,4.9,63730,5,3-dorm-compacto
413,1,4,ancho,1,1,9.6,31.3,9.4,5,50533,7,1-dorm
238,1,3,angosto,1,1,10,14.5,9.2,4.2,26503,5,1-dorm
232,4,3,cuadrado,3,1,10.8,24.8,34.1,3.4,59299,6,3-dorm-compacto
305,4,3,angosto,3,2,11.1,30.7,29.9,9.2,55703,7,3-dorm-largo
287,2,2,cuadrado,2,2,6.2,26.6,27.9,8.3,47907,6,2-dorm
221,2,4,irregular,3,1,6,18.5,41.7,4.7,70618,6,3-dorm-largo
144,2,4,cuadrado,1,1,8.1,13.3,14.3,3.2,35231,5,1-dorm
313,3,1,irregular,2,1,11,25.5,20.8,3.4,59946,5,2-dorm
417,4,1,angosto,2,1,6.1,35.9,20,4.4,57701,6,2-dorm
377,3,1,ancho,2,1,12.1,34,21.1,4.1,68115,6,2-dorm
299,1,1,ancho,1,1,9.6,18,14.8,3.7,40653,4,1-dorm
440,2,1,irregular,3,2,6.3,29.5,27.3,7.1,68670,6,3-dorm-largo
371,1,1,ancho,2,2,7.7,23.6,20.2,8.2,41623,5,2-dorm
341,4,3,cuadrado,3,2,9,33.2,37.1,7.7,61236,7,3-dorm-compacto
143,2,4,irregular,1,1,8.6,9.5,11,4.8,28971,5,1-dorm
163,4,4,irregular,3,2,11,16.4,37.4,6.9,62241,5,3-dorm-largo
